ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,5日均线
301027.SZ,20220125,17.71,18.16,16.85,16.85,18.04,-1.19,-6.5965,46806.56,81160.743,18.46
301027.SZ,20220124,18.88,19.33,17.91,18.04,18.8,-0.76,-4.0426,51199.65,95232.094,18.966
301027.SZ,20220121,18.45,19.86,18.3,18.8,18.51,0.29,1.5667,61481.99,116832.03,19.058
301027.SZ,20220120,19.8,19.8,18.5,18.51,20.1,-1.59,-7.9104,84211.21,159891.16,18.948
301027.SZ,20220119,19,20.24,18.8,20.1,19.38,0.72,3.7152,119314.07,234052.869,18.94
301027.SZ,20220118,18.31,19.8,17.85,19.38,18.5,0.88,4.7568,99562.2,188857.639,18.696
301027.SZ,20220117,18.21,18.77,18.19,18.5,18.25,0.25,1.3699,29858.96,54904.822,18.73
301027.SZ,20220114,18.51,18.71,18.07,18.25,18.47,-0.22,-1.1911,35545.99,65214.356,18.82
301027.SZ,20220113,19.26,19.37,18.37,18.47,18.88,-0.41,-2.1716,40556.55,75506.554,18.84
301027.SZ,20220112,19.42,19.42,18.08,18.88,19.55,-0.67,-3.4271,63745.15,119399.067,18.742
301027.SZ,20220111,18.76,20.4,18.61,19.55,18.95,0.6,3.1662,94892.74,186090.013,18.49
301027.SZ,20220110,19.35,19.99,18.51,18.95,18.35,0.6,3.2698,80992.83,154625.038,18.098
301027.SZ,20220107,17.96,19.56,17.82,18.35,17.98,0.37,2.0578,71920.15,133764.402,17.722
301027.SZ,20220106,17.5,18.08,17.5,17.98,17.62,0.36,2.0431,26156.27,46660.091,17.442
301027.SZ,20220105,17.43,17.77,17.21,17.62,17.59,0.03,0.1706,18630.7,32625.641,17.226
301027.SZ,20220104,17.06,17.65,17.02,17.59,17.07,0.52,3.0463,18075.3,31494.762,17.07
301027.SZ,20211231,17.01,17.22,16.95,17.07,16.95,0.12,0.708,10262.15,17561.438,16.898
301027.SZ,20211230,16.9,17.22,16.9,16.95,16.9,0.05,0.2959,13161.94,22464.336,16.786
301027.SZ,20211229,16.95,17.06,16.61,16.9,16.84,0.06,0.3563,12949.61,21845.928,16.932
301027.SZ,20211228,16.68,16.98,16.61,16.84,16.73,0.11,0.6575,12246.6,20592.897,17.244
301027.SZ,20211227,16.5,16.78,16.35,16.73,16.51,0.22,1.3325,15556.2,25897.787,17.638
301027.SZ,20211224,17.73,17.74,16.33,16.51,17.68,-1.17,-6.6176,41536.1,70105.43,17.794
301027.SZ,20211223,18.52,18.6,17.64,17.68,18.46,-0.78,-4.2254,31703.76,56628.264,18.054
301027.SZ,20211222,18.72,18.93,18.4,18.46,18.81,-0.35,-1.8607,27446,50910.964,18.278
301027.SZ,20211221,17.51,19.38,17.51,18.81,17.51,1.3,7.4243,71814.7,134021.212,18.334
301027.SZ,20211220,17.74,17.95,17.46,17.51,17.81,-0.3,-1.6844,18927.17,33503.01,18.25
301027.SZ,20211217,18.84,18.84,17.76,17.81,18.8,-0.99,-5.266,39319.5,71199.244,18.36
301027.SZ,20211216,18.8,18.93,18.5,18.8,18.74,0.06,0.3202,30278.18,56515.022,18.386
301027.SZ,20211215,18.25,18.98,18.1,18.74,18.39,0.35,1.9032,43268.03,80582.066,18.358
301027.SZ,20211214,17.91,18.4,17.72,18.39,18.06,0.33,1.8272,37087.4,67205.719,18.516
301027.SZ,20211213,17.98,18.3,17.96,18.06,17.94,0.12,0.6689,25414.58,46020.403,18.832
301027.SZ,20211210,18.48,18.56,17.92,17.94,18.66,-0.72,-3.8585,43527.7,79223.118,19
301027.SZ,20211209,19.17,19.24,18.56,18.66,19.53,-0.87,-4.4547,54584.71,102682.001,19.118
301027.SZ,20211208,19.58,19.79,18.9,19.53,19.97,-0.44,-2.2033,84812.08,162615.055,18.968
301027.SZ,20211207,18.89,20.38,18.59,19.97,18.9,1.07,5.6614,115353.89,225962.357,18.706
301027.SZ,20211206,18.39,19.26,17.88,18.9,18.53,0.37,1.9968,78450.05,147092.756,18.286
301027.SZ,20211203,17.92,18.67,17.71,18.53,17.91,0.62,3.4618,38009.34,69593.296,18.076
301027.SZ,20211202,18.12,18.34,17.86,17.91,18.22,-0.31,-1.7014,18105.95,32633.134,17.982
301027.SZ,20211201,18,18.35,17.81,18.22,17.87,0.35,1.9586,20709.8,37618.595,18.05
301027.SZ,20211130,17.92,18.38,17.8,17.87,17.85,0.02,0.112,18444.88,33372.237,18.11
301027.SZ,20211129,17.66,18.09,17.48,17.85,18.06,-0.21,-1.1628,19853.79,35409.408,18.18
301027.SZ,20211126,18.24,18.47,18.03,18.06,18.25,-0.19,-1.0411,20077.29,36438.376,18.292
301027.SZ,20211125,18.9,18.9,18.2,18.25,18.52,-0.27,-1.4579,28721.46,52758.58,18.332
301027.SZ,20211124,18.3,18.58,17.93,18.52,18.22,0.3,1.6465,38753.35,71046.042,18.12
301027.SZ,20211123,18.2,18.4,18.06,18.22,18.41,-0.19,-1.032,25303.1,46009.458,17.93
301027.SZ,20211122,18.41,18.58,17.85,18.41,18.26,0.15,0.8215,40692.81,73651.066,17.764
301027.SZ,20211119,17.22,18.59,17.22,18.26,17.19,1.07,6.2245,67992.8,123076.922,17.632
301027.SZ,20211118,17.5,17.75,17.15,17.19,17.57,-0.38,-2.1628,34738.13,60359.149,17.376
301027.SZ,20211117,16.7,17.75,16.7,17.57,17.39,0.18,1.0351,42224.87,73202.788,17.292
301027.SZ,20211116,18.28,19.84,17.37,17.39,17.75,-0.36,-2.0282,75759.74,137733.126,17.016
301027.SZ,20211115,16.99,17.79,16.87,17.75,16.98,0.77,4.5347,40910.65,71641.465,16.786
301027.SZ,20211112,16.67,17.06,16.52,16.98,16.77,0.21,1.2522,24850.63,41767.107,16.422
301027.SZ,20211111,16.19,16.85,16.11,16.77,16.19,0.58,3.5825,30433.15,50526.696,16.176
301027.SZ,20211110,16.22,16.24,15.87,16.19,16.24,-0.05,-0.3079,16094.01,25817.099,15.932
301027.SZ,20211109,15.93,16.25,15.75,16.24,15.93,0.31,1.946,16325.32,26347.991,15.784
301027.SZ,20211108,15.81,16.03,15.64,15.93,15.75,0.18,1.1429,12693.7,20132.948,15.58
301027.SZ,20211105,15.45,15.79,15.3,15.75,15.55,0.2,1.2862,14348.92,22441.592,15.49
301027.SZ,20211104,15.5,15.57,15.38,15.55,15.45,0.1,0.6472,9742.37,15093.207,15.4
301027.SZ,20211103,15.11,15.48,15,15.45,15.22,0.23,1.5112,11325.19,17310.916,15.3
301027.SZ,20211102,15.66,15.85,15.02,15.22,15.48,-0.26,-1.6796,16697.29,25672.997,15.322
301027.SZ,20211101,15.4,15.67,15.3,15.48,15.3,0.18,1.1765,11342.74,17587.635,15.524
301027.SZ,20211029,15.07,15.38,15.02,15.3,15.05,0.25,1.6611,10615.04,16145.253,15.708
301027.SZ,20211028,15.58,15.58,15.02,15.05,15.56,-0.51,-3.2776,15353.39,23303.435,16.04
301027.SZ,20211027,16.26,16.36,15.46,15.56,16.23,-0.67,-4.1282,21603.96,34119.091,16.37
301027.SZ,20211026,16.29,16.4,16.16,16.23,16.4,-0.17,-1.0366,14582.3,23686.149,16.594
301027.SZ,20211025,16.71,16.99,16.02,16.4,16.96,-0.56,-3.3019,24109.44,39460.401,16.722
301027.SZ,20211022,17.59,18.28,16.96,16.96,16.7,0.26,1.5569,37747.54,66000.75,16.894
301027.SZ,20211021,16.66,16.9,16.58,16.7,16.68,0.02,0.1199,11021.25,18422.118,16.934
301027.SZ,20211020,16.9,16.98,16.66,16.68,16.87,-0.19,-1.1263,9778.4,16413.77,17.08
301027.SZ,20211019,17.28,17.28,16.84,16.87,17.26,-0.39,-2.2596,15802.1,26842.991,17.258
301027.SZ,20211018,17.17,17.37,17.01,17.26,17.16,0.1,0.5828,8116.55,13945.962,17.258
301027.SZ,20211015,17.22,17.49,17.05,17.16,17.43,-0.27,-1.5491,13066.4,22464.37,17.236
301027.SZ,20211014,17.48,17.51,17.18,17.43,17.57,-0.14,-0.7968,15751.16,27322.025,17.186
301027.SZ,20211013,16.87,17.79,16.87,17.57,16.87,0.7,4.1494,26278.48,45880.016,17
301027.SZ,20211012,17.2,17.2,16.51,16.87,17.15,-0.28,-1.6327,12713.31,21352.125,16.768
